"Amount","Currency","Current value in USD","Current value in BTC","Exchange"
"0.41030000","YFII","31.22","0.00028426","Manually"
"605.00000000","ANC2","1.79","0.00001629","Anchor"
"-0.00008169","BTC","-8.97","-0.00008169","Binance"
"16.81404761","AAVE","5555.24","0.05058383","Binance"
"1.71011000","ADA","1.43","0.00001304","Binance"
"6576.34000000","AION","3.43","0.00003124","Binance"
"1176.95578283","ALGO","295.37","0.00268948","Binance"
"10331.00000000","AMB","1.05","0.00000952","Binance"
"787.49521100","ANC2","2.33","0.00002120","Binance"
"22.81635683","APT3","98.31","0.00089521","Binance"
"12570.62299299","ARPA","269.63","0.00245513","Binance"
"66.48770845","AVAX","1549.92","0.01411298","Binance"
"0.07120486","BNB","59.94","0.00054576","Binance"
"381.23794148","BNT","287.53","0.00261811","Binance"
"263.10000000","BOBA","24.30","0.00022123","Binance"
"4134324.45000000","BONK","83.85","0.00076353","Binance"
"-1683.46029011","BUSD","-1684.65","-0.01533974","Binance"
"6244.84672857","CHZ","241.24","0.00219668","Binance"
"11426.57667696","CKB","52.79","0.00048066","Binance"
"5.72306877","COMP","245.18","0.00223250","Binance"
"2604.72144633","DOGE","546.86","0.00497950","Binance"
"-0.02800000","DOT2","-0.11","-0.00000096","Binance"
"586.49624313","DYDX","356.72","0.00324814","Binance"
"82.33348890","EIGEN","101.40","0.00092327","Binance"
"203.60141814","ENA","127.20","0.00115827","Binance"
"11.53027082","ERA","866.76","0.00789239","Binance"
"-0.00280102","ETC","-0.06","-0.00000054","Binance"
"-0.00000758","ETH","-0.03","-0.00000031","Binance"
"51.25855428","ETHFI","55.73","0.00050742","Binance"
"-0.03200000","FDUSD","-0.03","-0.00000029","Binance"
"2365.86213109","FET","1489.04","0.01355861","Binance"
"56.41430461","FIL","127.78","0.00116350","Binance"
"44.46419214","FTT","37.74","0.00034367","Binance"
"32.84048721","FXS","84.10","0.00076579","Binance"
"26264.31236112","GALA","423.99","0.00386065","Binance"
"667.70303745","GHST","289.43","0.00263542","Binance"
"613.12465650","GMT5","24.06","0.00021905","Binance"
"3182.98809586","GRT","279.30","0.00254319","Binance"
"444.09201980","HBAR","103.91","0.00094619","Binance"
"-48.24111610","HEI","-0.01","-0.00000009","Binance"
"323.85063334","HEI2","145.91","0.00132860","Binance"
"89225.09000000","HMSTR","61.14","0.00055669","Binance"
"582.94064728","HUMA","14.14","0.00012871","Binance"
"30.99365011","ICP2","153.19","0.00139490","Binance"
"289.34706029","ID","3.29","0.00002997","Binance"
"0.30903937","ID2","0.05","0.00000045","Binance"
"1380.09100000","IOTA2","262.21","0.00238756","Binance"
"240.49725369","JUP2","110.73","0.00100825","Binance"
"451.29400000","KLY","1.03","0.00000938","Binance"
"363.00077436","KNC","135.68","0.00123544","Binance"
"8.68506605","LA","0.14","0.00000125","Binance"
"3.56316737","LAYER","0.05","0.00000046","Binance"
"180.78448220","LDO","231.15","0.00210479","Binance"
"107.68845599","LINK","2518.30","0.02293066","Binance"
"61944.48000000","LUNA2","3.60","0.00003274","Binance"
"0.08297127","LUNA3","0.01","0.00000011","Binance"
"-61944.58000000","LUNC","-3.60","-0.00003274","Binance"
"872.43426071","MANA","242.04","0.00220396","Binance"
"-239.67069107","MIOTA","-45.49","-0.00041419","Binance"
"804828.00000000","MONKY","0.63","0.00000570","Binance"
"169.36000000","NAS","0.03","0.00000026","Binance"
"15.54274804","NEO","107.86","0.00098211","Binance"
"3.90055081","NEWT","1.08","0.00000987","Binance"
"82647.56778300","NFT2","0.04","0.00000035","Binance"
"0.12632363","NSBT","0.01","0.00000007","Binance"
"81059.90000000","OOKI","0.08","0.00000074","Binance"
"0.23381901","PAXG","788.08","0.00717596","Binance"
"14.45347188","PENDLE","76.20","0.00069385","Binance"
"36294348.16999999","PEPE4","361.17","0.00328863","Binance"
"411.30205196","PHA","44.36","0.00040388","Binance"
"85.31063075","PLUME","7.26","0.00006611","Binance"
"166.30000000","PNUT2","35.64","0.00032448","Binance"
"8.66116464","PROVE","8.74","0.00007960","Binance"
"241.33429004","QI","0.23","0.00000206","Binance"
"96.27520147","QTUM","274.80","0.00250220","Binance"
"1935.95252027","RDNT","39.59","0.00036046","Binance"
"92.94875082","RENDER","321.34","0.00292603","Binance"
"38.66400000","REP","39.69","0.00036143","Binance"
"3042.43659163","RIF","168.30","0.00153249","Binance"
"7406.38888713","ROSE","186.78","0.00170072","Binance"
"14.83340497","RPL","105.62","0.00096177","Binance"
"1111.48741487","SAGA3","268.21","0.00244226","Binance"
"72.62215432","SAHARA","6.28","0.00005715","Binance"
"28434.19488221","SC","86.29","0.00078570","Binance"
"1602.16202762","SCRT","273.77","0.00249282","Binance"
"103.12173494","SEI2","29.82","0.00027151","Binance"
"422.55311164","SFP","187.74","0.00170950","Binance"
"29660645.55999999","SHIB","360.43","0.00328195","Binance"
"117.30520106","SNX","74.89","0.00068194","Binance"
"650.53256121","STRK2","81.83","0.00074508","Binance"
"22496.09947241","SUN2","538.65","0.00490471","Binance"
"297.67865683","SUSHI","222.44","0.00202548","Binance"
"513.08901778","THETA2","394.63","0.00359335","Binance"
"119.00436599","TONCOIN","371.75","0.00338502","Binance"
"183.06962200","TOWNS","4.13","0.00003762","Binance"
"7.48657716","TREE","2.17","0.00001979","Binance"
"4257.85756545","TRX","1475.85","0.01343851","Binance"
"91.79623875","UNI2","887.89","0.00808478","Binance"
"197.30380047","USDC","197.49","0.00179822","Binance"
"5907.65796744","USDT","5907.66","0.05379280","Binance"
"52327.58777065","USTC","689.52","0.00627849","Binance"
"2824.47539520","VANRY","79.89","0.00072746","Binance"
"33098.87067224","VET","800.64","0.00729027","Binance"
"68130.90429362","VTHO","123.99","0.00112904","Binance"
"0.15562000","WAVES","0.18","0.00000166","Binance"
"237.57690678","WLD3","211.05","0.00192171","Binance"
"385.88217741","XNO2","344.40","0.00313593","Binance"
"27290.25001963","XVG","158.35","0.00144187","Binance"
"0.02790371","YFI","151.32","0.00137787","Binance"
"16839.14266904","ZIL","187.60","0.00170822","Binance"
"1252.67878899","ZRX","297.43","0.00270829","Binance"
"-30.00000000","AVAX","-699.34","-0.00636793","Binance Earn"
"9.71170180","BNB","8174.87","0.07443713","Binance Earn"
"-0.01983542","BUSD","-0.02","-0.00000018","Binance Earn"
"-0.30248479","FET","-0.19","-0.00000173","Binance Earn"
"-44.35410098","SUN2","-1.06","-0.00000967","Binance Earn"
"-0.87164334","USDT","-0.87","-0.00000794","Binance Earn"
"1100.20003233","BGB","5032.05","0.04581987","Bitget Earn"
"4273.10726851","CRO","688.21","0.00626655","Bitget Earn"
"4386.90036168","USDT","4386.90","0.03994538","Bitget Futures"
"0.00030177","ETH","1.33","0.00001215","Bitget Margin"
"34.42124483","BGB","157.43","0.00143354","Bitget Spot"
"2.39855713","BTG","2.42","0.00002208","Bitget Spot"
"5712.27083212","CATGOLD","0.46","0.00000416","Bitget Spot"
"0.43316324","CRO","0.07","0.00000064","Bitget Spot"
"45.92224502","DOPE","0.43","0.00000392","Bitget Spot"
"32.22471556","ENA","20.13","0.00018332","Bitget Spot"
"0.00000214","ETH","0.01","0.00000009","Bitget Spot"
"-70.04000000","FUEL","-0.01","-0.00000010","Bitget Spot"
"69.28000000","ONDO","62.47","0.00056887","Bitget Spot"
"22.15395000","SXCH","0.04","0.00000034","Bitget Spot"
"22.73261768","USDT","22.73","0.00020699","Bitget Spot"
"6722.19000000","VRA","9.78","0.00008907","Bitget Spot"
"241.03275000","ZKF","0.01","0.00000007","Bitget Spot"
"0.00001121","BCH","0.01","0.00000005","Coinbase"
"3563.34398920","DOGE","748.12","0.00681212","DOGE Transaction"
"100.00000000","DOGI3","184.99","0.00168446","DOGE Transaction"
"48.82000000","EGLD3","704.80","0.00641761","Hatom"
"1269.77000000","HTM","117.67","0.00107144","Hatom"
"3845.00000000","USDT","3845.00","0.03501105","Hatom"
"-0.00000006","BTC","-0.01","-0.00000006","Kraken"
"560.38138548","A","0.30","0.00000270","Kraken"
"179.79650270","AKT","203.61","0.00185399","Kraken"
"7.83054293","ALCX","76.94","0.00070056","Kraken"
"12112.48764090","ANKR","179.59","0.00163529","Kraken"
"3808.83975127","BAT","550.28","0.00501059","Kraken"
"2.39623433","BCH","1282.27","0.01167580","Kraken"
"2246.59574937","CFG","806.71","0.00734557","Kraken"
"10479.76203962","DOGE","2200.22","0.02003438","Kraken"
"20.57564386","ETC","433.59","0.00394814","Kraken"
"147.31244333","EWT","186.60","0.00169908","Kraken"
"4397.90960000","FLR2","97.99","0.00089227","Kraken"
"107.98330562","GARI","0.68","0.00000618","Kraken"
"2.34369114","GNO","304.68","0.00277431","Kraken"
"227.86102458","IMX2","119.18","0.00108521","Kraken"
"24.11751353","INTR","0.06","0.00000050","Kraken"
"1175.43200400","JUNO","81.87","0.00074549","Kraken"
"65407.50801000","KIN","0.07","0.00000068","Kraken"
"911.74553660","LCX","142.21","0.00129492","Kraken"
"218.70071889","LINK","5114.33","0.04656908","Kraken"
"9.00240000","LMWR","0.76","0.00000695","Kraken"
"1788.22880393","LRC","149.66","0.00136278","Kraken"
"10.62931384","LTC","1171.53","0.01066751","Kraken"
"4187701.42791049","LUNA2","243.05","0.00221312","Kraken"
"465.09423250","LUNA3","68.56","0.00062431","Kraken"
"1185.53978706","NEAR","2869.91","0.02613228","Kraken"
"52.95673400","ORCA","115.44","0.00105119","Kraken"
"13261.85193177","OXT","693.48","0.00631455","Kraken"
"17178.98598103","REN","155.03","0.00141168","Kraken"
"3091.83872000","S5","955.74","0.00870262","Kraken"
"549.53420327","SAND","149.88","0.00136475","Kraken"
"164.91957000","WAL","0.01","0.00000013","Kraken"
"128.07869000","WAL3","50.35","0.00045851","Kraken"
"5940.03643720","XLM","2291.06","0.02086147","Kraken"
"22.06414939","XMR","5799.14","0.05280468","Kraken"
"9.06289226","ZEC","356.84","0.00324927","Kraken"
"0.09120535","BTC","10016.40","0.09120535","Kraken Earn"
"3892.93681980","ADA","3260.19","0.02968598","Kraken Earn"
"357.70282399","ATOM2","1596.01","0.01453261","Kraken Earn"
"294.36711836","DOT2","1109.60","0.01010358","Kraken Earn"
"1.33107754","ETH","5885.07","0.05358716","Kraken Earn"
"65.30953374","FLOW","24.46","0.00022272","Kraken Earn"
"71.27533456","INJ2","925.86","0.00843054","Kraken Earn"
"669.33313731","KAVA","244.78","0.00222884","Kraken Earn"
"20.31639451","KSM","297.23","0.00270649","Kraken Earn"
"2087.67704190","POL3","490.62","0.00446739","Kraken Earn"
"5.58712928","SOL2","1046.11","0.00952548","Kraken Earn"
"622.70972000","SUI3","2104.16","0.01915962","Kraken Earn"
"3.45748175","TAO6","1119.36","0.01019245","Kraken Earn"
"76.70728800","TIA3","124.34","0.00113215","Kraken Earn"
"1084.55888232","USDC","1085.56","0.00988465","Kraken Earn"
"4.88979360","USDT","4.89","0.00004452","Kraken Earn"
"2654.90255934","XRP","7691.26","0.07003353","Kraken Earn"
"796.91258898","XTZ","621.64","0.00566044","Kraken Earn"
"212.98900000","EUR","247.97","0.00225789","Kraken Earn"
"11414.62910000","USD","11414.63","0.10393710","Kraken Earn"
"1.43062240","BTC","157114.49","1.43062240","Ledger Wallets"
"253.47205773","1INCH","61.31","0.00055829","Ledger Wallets"
"25.00000000","ALT","0.81","0.00000740","Ledger Wallets"
"305.01561600","ATOM2","1360.93","0.01239206","Ledger Wallets"
"0.00211436","AVAX","0.05","0.00000045","Ledger Wallets"
"12.61926747","BASE","16.49","0.00015016","Ledger Wallets"
"2.01980000","BCH","1080.83","0.00984160","Ledger Wallets"
"-0.26329208","BNB","-221.63","-0.00201805","Ledger Wallets"
"1.00000000","BUC","0.50","0.00000456","Ledger Wallets"
"1.00000000","BZN","0.07","0.00000062","Ledger Wallets"
"721.67641968","CALO","0.32","0.00000292","Ledger Wallets"
"10.00000000","CBXRP","29.17","0.00026561","Ledger Wallets"
"12.61926747","CHERRY","2.17","0.00001972","Ledger Wallets"
"10.00000000","DIAMOND","113.19","0.00103063","Ledger Wallets"
"8567.90000000","DOGE","1798.83","0.01637943","Ledger Wallets"
