"Ticker";"Name";"Type";"Amount";"Value in USD";"Value in BTC";"% of total";"Price in BTC";"Price in USD";"Trend 1h in %";"Trend 24h in %";"Trend 7d in %";"Trend 30d in %"
"BTC";"Bitcoin";"Coin";"1.52191480";"167140.44";"1.52191480";"39.65";"1.000000000000";"109822.47000000";"-0.44";"-1.17";"-5.01";"-8.04"
"WSTETH";"Lido wstETH";"Coin";"8.53967597";"45849.45";"0.41748699";"10.88";"0.048887919584";"5368.99208188";"0.28";"-2.60";"3.41";"15.13"
"ETH";"Ethereum";"Coin";"7.04373146";"31142.35";"0.28356995";"7.39";"0.040258484598";"4421.28621701";"-0.03";"-3.27";"2.66";"14.40"
"RETH";"Rocket Pool ETH";"Coin";"4.10095164";"20683.69";"0.18833746";"4.91";"0.045925306485";"5043.63059369";"0.19";"-3.39";"3.49";"15.64"
"TBTC";"tBTC";"Coin";"0.13008938";"14354.50";"0.13070644";"3.41";"1.004743345366";"110343.39590416";"0.27";"-1.08";"-5.03";"-7.54"
"USDT";"Tether USDt";"Coin";"14166.40909684";"14166.41";"0.12899372";"3.36";"0.000009105605";"1.00000003";"0.00";"0.02";"-0.03";"0.00"
"USD";"US Dollar";"Currency";"11414.62910000";"11414.63";"0.10393710";"2.71";"0.000009105605";"1.00000003";"0.00";"0.00";"0.00";"0.00"
"BNB";"BNB";"Coin";"9.52004643";"8013.54";"0.07296815";"1.90";"0.007664684765";"841.75461266";"-0.28";"-1.40";"-0.60";"-0.22"
"XRP";"Ripple";"Coin";"2694.98274334";"7807.37";"0.07109081";"1.85";"0.000026378947";"2.89700112";"-0.17";"-1.23";"-3.94";"-10.30"
"LINK";"Chainlink";"Coin";"326.38917488";"7632.63";"0.06949974";"1.81";"0.000212935191";"23.38506863";"0.79";"-4.55";"-5.53";"22.09"
"XMR";"Monero";"Coin";"22.06414939";"5799.14";"0.05280468";"1.38";"0.002393234332";"262.83090563";"0.27";"-4.55";"-3.93";"-18.96"
"AAVE";"Aave";"Coin";"16.81404761";"5555.24";"0.05058383";"1.32";"0.003008426917";"330.39287484";"0.16";"1.18";"14.60";"8.96"
